Name                                                  Pid   PPid   Thds   Hnds Time
.... 0xffff9e899df2a080:hidfind.exe                  5296   4600      1      0 2024-02-16 11:59:33 UTC+0000
.... 0xffff9e899dd8a080:ApMsgFwd.exe                 4264   4600      2      0 2024-02-16 11:59:31 UTC+0000
.. 0xffff9e899c5a9240:svchost.exe                     948    696      5      0 2024-02-16 11:59:11 UTC+0000
.. 0xffff9e899dd04240:svchost.exe                    5052    696      4      0 2024-02-16 11:59:30 UTC+0000
.. 0xffff9e899d9c3080:svchost.exe                    8164    696      6      0 2024-02-16 12:01:19 UTC+0000
.. 0xffff9e899dbc8240:svchost.exe                    5024    696      1      0 2024-02-16 11:59:30 UTC+0000
.. 0xffff9e899df26080:svchost.exe                    5576    696      5      0 2024-02-16 11:59:35 UTC+0000
.. 0xffff9e899e0ef080:svchost.exe                    8676    696      0 ------ 2024-02-16 12:02:13 UTC+0000
.. 0xffff9e899d442280:svchost.exe                    3036    696      1      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899c4bf240:svchost.exe                     800    696     14      0 2024-02-16 11:59:10 UTC+0000
... 0xffff9e899d2bf080:RuntimeBroker.                2576    800     13      0 2024-02-16 12:00:35 UTC+0000
... 0xffff9e899e2d4080:SkypeBackgroun                5748    800      4      0 2024-02-16 11:59:48 UTC+0000
... 0xffff9e899eec4300:RuntimeBroker.                7768    800      1      0 2024-02-16 12:01:03 UTC+0000
... 0xffff9e899df25080:StartMenuExper                5392    800      7      0 2024-02-16 11:59:40 UTC+0000
... 0xffff9e899ee52080:smartscreen.ex                3516    800      7      0 2024-02-16 12:23:36 UTC+0000
... 0xffff9e899e1e3080:SearchApp.exe                 5800    800     28      0 2024-02-16 11:59:44 UTC+0000
... 0xffff9e899dc99080:ShellExperienc                1896    800     20      0 2024-02-16 12:00:34 UTC+0000
... 0xffff9e899ea55080:SystemSettings                1044    800     21      0 2024-02-16 12:03:31 UTC+0000
... 0xffff9e899df28080:RuntimeBroker.                1184    800      6      0 2024-02-16 12:00:25 UTC+0000
... 0xffff9e899e2d3080:RuntimeBroker.                4900    800     12      0 2024-02-16 11:59:47 UTC+0000
... 0xffff9e899e84e340:UserOOBEBroker                8108    800      1      0 2024-02-16 12:03:33 UTC+0000
... 0xffff9e899e0f4080:WinStore.App.e                7988    800     12      0 2024-02-16 12:03:11 UTC+0000
... 0xffff9e899cd89240:RuntimeBroker.                5772    800      2      0 2024-02-16 11:59:42 UTC+0000
... 0xffff9e899eb2e080:RuntimeBroker.                6524    800      1      0 2024-02-16 12:03:16 UTC+0000
... 0xffff9e899e2e50c0:ApplicationFra                1520    800      6      0 2024-02-16 12:03:11 UTC+0000
... 0xffff9e899e5e4080:SkypeApp.exe                  4528    800     13      0 2024-02-16 12:00:47 UTC+0000
... 0xffff9e899cc59080:TextInputHost.                3576    800     10      0 2024-02-16 12:00:41 UTC+0000
.. 0xffff9e899cdab240:svchost.exe                    1360    696      2      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899d0321c0:svchost.exe                    2020    696      3      0 2024-02-16 11:59:13 UTC+0000
.. 0xffff9e899eb71340:svchost.exe                    3560    696      6      0 2024-02-16 12:01:21 UTC+0000
.. 0xffff9e899d079340:svchost.exe                    2216    696     12      0 2024-02-16 11:59:13 UTC+0000
. 0xffff9e899c4410c0:lsass.exe                        712    628      9      0 2024-02-16 11:59:10 UTC+0000
. 0xffff9e899c4f2340:fontdrvhost.ex                   816    628      5      0 2024-02-16 11:59:10 UTC+0000
 0xffff9e899e389080:git.exe                          9096    472      0 ------ 2024-02-16 12:25:46 UTC+0000
 0xffff9e899b81a080:csrss.exe                         480    472     11      0 2024-02-16 11:59:09 UTC+0000
 0xffff9e899b9e1180:csrss.exe                         640    620     13      0 2024-02-16 11:59:10 UTC+0000
 0xffff9e899c5f5080:winlogon.exe                     1008    620      4      0 2024-02-16 11:59:11 UTC+0000
. 0xffff9e899cc57080:dwm.exe                          532   1008     15      0 2024-02-16 11:59:11 UTC+0000
. 0xffff9e899dbc62c0:userinit.exe                    5264   1008      0 ------ 2024-02-16 11:59:33 UTC+0000
.. 0xffff9e899df2b080:explorer.exe                   5316   5264     82      0 2024-02-16 11:59:33 UTC+0000
... 0xffff9e899e23c0c0:SecurityHealth                6912   5316      2      0 2024-02-16 11:59:59 UTC+0000
... 0xffff9e899e69f080:git-bash.exe                  1800   5316      1      0 2024-02-16 12:06:42 UTC+0000
.... 0xffff9e899e8d9080:mintty.exe                   3276   1800      6      0 2024-02-16 12:06:42 UTC+0000
..... 0xffff9e89985ab080:mintty.exe                  3636   3276      0 ------ 2024-02-16 12:06:42 UTC+0000
...... 0xffff9e899e3b9300:bash.exe                   1348   3636      3      0 2024-02-16 12:06:43 UTC+0000
...... 0xffff9e899e3cc080:cygwin-console             7228   3636      0 ------ 2024-02-16 12:06:42 UTC+0000
....... 0xffff9e899b514300:conhost.exe               2300   7228      3      0 2024-02-16 12:06:42 UTC+0000
... 0xffff9e899e8bf080:chrome.exe                    3856   5316      0 ------ 2024-02-16 12:00:49 UTC+0000
... 0xffff9e899e495080:OneDrive.exe                  7060   5316     18      0 2024-02-16 12:00:00 UTC+0000
... 0xffff9e899edda340:FTK Imager.exe                5384   5316     17      0 2024-02-16 12:23:42 UTC+0000
... 0xffff9e899eb30080:ed01ebfbc9eb5b                8700   5316      9      0 2024-02-16 12:29:40 UTC+0000
. 0xffff9e899cc14140:fontdrvhost.ex                   288   1008      5      0 2024-02-16 11:59:11 UTC+0000
 0xffff9e8996c7c040:System                              4      0    133      0 2024-02-16 11:58:54 UTC+0000
. 0xffff9e8996d15080:Registry                          92      4      4      0 2024-02-16 11:58:49 UTC+0000
. 0xffff9e8998974040:smss.exe                         348      4      2      0 2024-02-16 11:58:54 UTC+0000
. 0xffff9e8996db3040:MemCompression                  1976      4     34      0 2024-02-16 11:59:12 UTC+0000
 0xffff9e899dd9a300:igfxHK.exe                       2600   4976      4      0 2024-02-16 11:59:30 UTC+0000
 0xffff9e899dd39300:igfxEM.exe                       3172   4976      4      0 2024-02-16 11:59:30 UTC+0000
 0xffff9e899dd89300:igfxTray.exe                     4276   4976      4      0 2024-02-16 11:59:31 UTC+0000
 0xffff9e899df29080:ApntEx.exe                       5344   5280      2      0 2024-02-16 11:59:33 UTC+0000
. 0xffff9e899d3d5240:conhost.exe                     5380   5344      3      0 2024-02-16 11:59:33 UTC+0000
 0xffff9e899df27080:GoogleCrashHan                   6628   4852      3      0 2024-02-16 12:00:24 UTC+0000
 0xffff9e899e2752c0:GoogleCrashHan                     64   4852      3      0 2024-02-16 12:00:24 UTC+0000
