Volatility 3 Framework 2.5.2

Session ID	Session Type	Process ID	Process	User Name	Create Time

N/A	-	4	System	-	2024-02-16 11:58:54.000000 
N/A	-	92	Registry	-	2024-02-16 11:58:49.000000 
N/A	-	348	smss.exe	-	2024-02-16 11:58:54.000000 
0	-	480	csrss.exe	/SYSTEM	2024-02-16 11:59:09.000000 
0	-	628	wininit.exe	/SYSTEM	2024-02-16 11:59:10.000000 
0	-	696	services.exe	/SYSTEM	2024-02-16 11:59:10.000000 
0	-	712	lsass.exe	/SYSTEM	2024-02-16 11:59:10.000000 
0	-	800	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:10.000000 
0	-	816	fontdrvhost.ex	Font Driver Host/UMFD-0	2024-02-16 11:59:10.000000 
0	-	896	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:11.000000 
0	-	948	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:11.000000 
0	-	624	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:11.000000 
0	-	692	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:11.000000 
0	-	1096	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:11.000000 
0	-	1116	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:11.000000 
0	-	1124	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:11.000000 
0	-	1232	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:12.000000 
0	-	1240	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1272	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1280	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1360	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1380	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:12.000000 
0	-	1608	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1652	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:12.000000 
0	-	1668	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:12.000000 
0	-	1744	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1756	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1860	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:12.000000 
0	-	1872	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1888	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	1908	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:12.000000 
0	-	2020	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:13.000000 
0	-	1708	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:13.000000 
0	-	2060	igfxCUIService	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:13.000000 
0	-	2108	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:13.000000 
0	-	2116	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:13.000000 
0	-	2216	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:13.000000 
0	-	2308	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:13.000000 
0	-	2452	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:14.000000 
0	-	2460	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:14.000000 
0	-	2472	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:14.000000 
0	-	2568	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:14.000000 
0	-	2656	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:14.000000 
0	-	2720	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:14.000000 
0	-	2832	spoolsv.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:14.000000 
0	-	2880	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:14.000000 
0	-	2976	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:15.000000 
0	-	3036	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:15.000000 
0	-	3128	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:15.000000 
0	-	3136	svchost.exe	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:15.000000 
0	-	3144	HidMonitorSvc.	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:15.000000 
0	-	3156	svchost.exe	NT AUTHORITY/SERVICIO LOCAL	2024-02-16 11:59:15.000000 
0	-	3188	dynabookHDDPro	WORKGROUP/DESKTOP-EEQHHAF$	2024-02-16 11:59:15.000000 
